Description,SITE,BP
"The Cheonjeon site (37°56′20″N, 127°46′42″E; 85 m height) comprises ancient dwellings in Chun cheon-si, Gangwon-do",SNU02-388,2320 ± 60
,SNU02-389,2590 ± 60
,SNU02-390,2410 ± 40
,SNU02-391,2080 ± 40
,SNU02-392,2300 ± 60
"The Nambugdong site (37°21′N, 126°51′E), investigated and samples submitted by the Seoul National University (SNU) Museum in 2002, is an ancient charcoal brazier on a field (estimated as 2500–1500 BC) in Yongyu-do, Incheon-si. This site is at present a seaside sand dune, 10 m depth.",SNU02-455,3500 ± 40
,SNU02-456,3840 ± 40
,SNU02-457,4440 ± 50
,SNU02-458,4450 ± 50
,SNU02-459,4650 ± 40
,SNU02-460,4700 ± 60
,SNU02-461,4620 ± 60
,SNU02-462,3810 ± 40
"The Eulwang site (37°21′N, 126°51′E) was investigated and samples submitted by the SNU Museum in 2002. Samples are ancient remains (7 m depth; estimated as 2500~1500 BC) from Yongyu-do, Incheon-si",SNU02-463,4010 ± 60
,SNU02-464,4080 ± 60
"The Gwanyangdong site (37°24′12″N, 126°63′05″E) comprises ancient dwellings (10th–7th cen tury BC) in Anyang-si, Gyunggi-do.",SNU02-469,2740 ± 40
,SNU02-470,2580 ± 40
,SNU02-471,2490 ± 40
,SNU02-472,2440 ± 60
"The Wonsu site (36°01′13″N, 127°05′45″E) comprises ancient dwellings in Samdo-dong, Gwangju si, Jeonnam-do",SNU02-512,2430 ± 60
,SNU02-513,2800 ± 30
,SNU02-514,2580 ± 80
,SNU02-515,2660 ± 40
,SNU02-516,2560 ± 40
,SNU02-517,2420 ± 40
,SNU02-518,2490 ± 60
,SNU02-519,2530 ± 60
"The Chuidong site (36°00′N, 126°24′E) comprises ancient dwellings (32.55 m height; AD 5th–6th century) in Gunsan-si, Jeonbug-do",SNU02-520,1700 ± 40
,SNU02-521,1640 ± 40
,SNU02-522,1980 ± 80
,SNU02-523,1760 ± 80
,SNU02-524,1740 ± 60
,SNU02-525,1700 ± 60
,SNU02-526,1560 ± 60
"The Whangseng site (35°51′92″N, 129°12′59″E) comprises ancient dwellings (presumably Bronze Age) in Kyungju-si, Gyengbuk-do",SNU02-572,2660 ± 40
,SNU02-573,2810 ± 60
,SNU02-574,2470 ± 40
"The Nagpo site (34°51′N, 127°46′E; 61 m height) in Yosu-si, Jeonnam-do, was investigated and samples submitted by Korea Atomic Energy Research Institute (KAERI)",SNU02-085,3350 ± 40
,SNU02-086,3350 ± 40
,SNU02-087,5960 ± 70
,SNU02-088,6030 ± 30
,SNU02-089,5980 ± 40
,SNU02-090,4290 ± 60
,SNU02-091,6090 ± 40
,SNU02-092,3730 ± 40
"The Yongsuri site (37°40′N, 127°45′E), investigated and samples submitted by Kyunghee Univer sity, is located in Nam-myeon, Hongcheon-gun, Gangwon-do.",SNU02-161,1830 ± 40
,SNU02-162,1880 ± 60
,SNU02-163,2550 ± 40
"The Rondeau series (42°19′53″N, 81°50′44″W) comes from Rondeau Provincial Park, Kent, Onta rio, Canada. See Coakley (1989) for more detailed description of this site.",SNU02-320,1490 ± 30
,SNU02-321,2610 ± 40
,SNU02-322,1870 ± 30
"The Deokjin site (36°25′30″N, 127°22′25″E; 80 m height) is located in Yuseng-gu, Daejun-si.",SNU02-585,9120 ± 40
,SNU02-586,12440 ± 150
,SNU02-587,10650 ± 150
,SNU02-588,14890 ± 200
,SNU02-590,5720 ± 80
,SNU02-593,5100 ± 200
,SNU02-594,10850 ± 150
"The Whanghae site, investigated in 2001 by the School of Earth and Environmental Science (SNU), is in the middle of the Yellow Sea, west of the Korean Peninsula.",SNU02-632,11350 ± 50
,SNU02-633,18150 ± 100
,SNU02-636,4150 ± 50
,SNU02-637,60 ± 30
,SNU02-634,7560 ± 50
